"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Direito Do Trabalho","4.5","2","Av. Araguaia, 116","Goiânia","Goiás","BR",,"","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Direito%20Do%20Trabalho&query_place_id=ChIJRVUPcGPxXpMRBUvXgMgIrNE","Serviços jurídicos"
"Advocacia e Assessoria Jurídica","5","6",,,,,,"+55 66 99936-2194","Advogado processual","Advogado de falência","Advogado(a) civil","Advogado criminal","Service establishment","Advogado de seguros","Advogado trabalhista","Serviços jurídicos","Advogado imobiliário","Advogado previdenciário","Advogado tributarista","https://www.google.com/maps/search/?api=1&query=Advocacia%20e%20Assessoria%20Jur%C3%ADdica&query_place_id=ChIJ-dYrMaUiO2URjidwIcVF4OI","Advogado processual"
"ASSESSORIA JURÍDICA E EMPRESARIAL","5","3","R. Fernando Falcão, 1111 - Conjunto 308","São Paulo","São Paulo","BR",,"+55 11 2796-2031","Assistência jurídica","Consultoria empresarial",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ASSESSORIA%20JUR%C3%8DDICA%20E%20EMPRESARIAL&query_place_id=ChIJe_N5zKhZzpQRbM1wgAXpdwQ","Assistência jurídica"
"SSG Assessoria Jurídica - Escritório de Advocacia","4.4","7","Rua Padre Adelino, 2074 - 12º andar - Conj. 121","São Paulo","SP","BR",,"+55 11 3181-3652","Escritório de advocacia",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SSG%20Assessoria%20Jur%C3%ADdica%20-%20Escrit%C3%B3rio%20de%20Advocacia&query_place_id=ChIJPwGBgPRfzpQRplRiaCYFQkA","Escritório de advocacia"
"Advocacia & Assessoria Jurídica","5","5",,,,,,"+55 92 99155-5329","Escritório de advocacia","Advogado administrativo","Service establishment","Advogado trabalhista","Advogado","Serviços jurídicos","Advogado processual",,,,,"https://www.google.com/maps/search/?api=1&query=Advocacia%20%26%20Assessoria%20Jur%C3%ADdica&query_place_id=ChIJD8kEjUPQcosR8t3pZmBrjDc","Escritório de advocacia"
"Advogado - Assessoria & Consultoria Jurídica","5","11","Estr. do Tindiba, 1752 - sala 201","Rio de Janeiro","Rio de Janeiro","BR",,"+55 21 99934-4524","Advogado","Advogado administrativo","Advogado(a) civil","Advogado criminal","Advogado trabalhista","Advogado imobiliário","Advogado tributarista","Advogado processual",,,,"https://www.google.com/maps/search/?api=1&query=Advogado%20-%20Assessoria%20%26%20Consultoria%20Jur%C3%ADdica&query_place_id=ChIJY96FPV-MvI8RvmXqBBoNLnU","Advogado"
"Acessoria Jurídica","5","1","R. 1150, 10","Balneário Camboriú","Santa Catarina","BR",,"+55 47 3264-6871","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Acessoria%20Jur%C3%ADdica&query_place_id=ChIJB2yJSQS22JQRtdLyordKwnU","Advogado"
"Assessoria Jurídica","5","4","Av. Iguatemi, n° 360 - Loja 5","Feira de Santana","Bahia","BR",,"+55 75 98298-3368","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Assessoria%20Jur%C3%ADdica&query_place_id=ChIJrab-dTk5FAcRqVG6zoHjs9A","Serviços jurídicos"
"ADVOCACIA ASSESSORIA JURÍDICA","4.8","22","Taguatinga Norte QNB 3","Brasília","Distrito Federal","BR",,"+55 35629615","Escritório da empresa",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ADVOCACIA%20ASSESSORIA%20JUR%C3%8DDICA&query_place_id=ChIJcfB9X90yWpMRtGb3ScGRMG4","Escritório da empresa"
"J. A. Assessoria Jurídica","5","23","Avenida Hilário Pereira de Souza 406 Torre São Paulo, sala 1310","Osasco","SP","BR",,"+55 11 98765-4966","Advogado imobiliário",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=J.%20A.%20Assessoria%20Jur%C3%ADdica&query_place_id=ChIJr6r7nSL_zpQRa7EwfDaLmn0","Advogado imobiliário"
